date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner
15/06/2019,Canada,Martinique,4,0,Gold Cup,Los Angeles,United States,TRUE,Canada
15/06/2019,Mexico,Cuba,7,0,Gold Cup,Los Angeles,United States,TRUE,Mexico
16/06/2019,Haiti,Bermuda,2,1,Gold Cup,San José,Jamaica,TRUE,Haiti
16/06/2019,Costa Rica,Nicaragua,4,0,Gold Cup,San José,Jamaica,TRUE,Costa Rica
17/06/2019,Curaçao,El Salvador,0,1,Gold Cup,Kingston,Jamaica,TRUE,El Salvador
17/06/2019,Jamaica,Honduras,3,2,Gold Cup,Kingston,Jamaica,FALSE,Jamaica
18/06/2019,Panama,Trinidad and Tobago,2,0,Gold Cup,Saint Paul,United States,TRUE,Panama
18/06/2019,United States,Guyana,4,0,Gold Cup,Saint Paul,United States,FALSE,United States
19/06/2019,Cuba,Martinique,0,3,Gold Cup,Denver,United States,TRUE,Martinique
19/06/2019,Mexico,Canada,3,1,Gold Cup,Denver,United States,TRUE,Mexico
20/06/2019,Nicaragua,Haiti,0,2,Gold Cup,Frisco,United States,TRUE,Haiti
20/06/2019,Costa Rica,Bermuda,2,1,Gold Cup,Frisco,United States,TRUE,Costa Rica
21/06/2019,El Salvador,Jamaica,0,0,Gold Cup,Houston,United States,TRUE,DRAW
21/06/2019,Honduras,Curaçao,0,1,Gold Cup,Houston,United States,TRUE,Curaçao
22/06/2019,Guyana,Panama,2,4,Gold Cup,Cleveland,United States,TRUE,Panama
22/06/2019,United States,Trinidad and Tobago,6,0,Gold Cup,Cleveland,United States,FALSE,United States
23/06/2019,Canada,Cuba,7,0,Gold Cup,Charlotte,United States,TRUE,Canada
23/06/2019,Martinique,Mexico,2,3,Gold Cup,Charlotte,United States,TRUE,Mexico
24/06/2019,Bermuda,Nicaragua,2,0,Gold Cup,New Jersey,United States,TRUE,Bermuda
24/06/2019,Haiti,Costa Rica,2,1,Gold Cup,New Jersey,United States,TRUE,Haiti
25/06/2019,Jamaica,Curaçao,1,1,Gold Cup,Los Angeles,United States,TRUE,DRAW
25/06/2019,Honduras,El Salvador,4,0,Gold Cup,Los Angeles,United States,TRUE,Honduras
26/06/2019,Trinidad and Tobago,Guyana,1,1,Gold Cup,Kansas City,United States,TRUE,DRAW
26/06/2019,United States,Panama,1,0,Gold Cup,Kansas City,United States,FALSE,United States
29/06/2019,Haiti,Canada,3,2,Gold Cup,Houston,United States,TRUE,Haiti
29/06/2019,Mexico,Costa Rica,1,1,Gold Cup,Houston,United States,TRUE,DRAW
30/06/2019,Jamaica,Panama,1,0,Gold Cup,Philadelphia,United States,TRUE,Jamaica
30/06/2019,United States,Curaçao,1,0,Gold Cup,Philadelphia,United States,FALSE,United States
2/7/2019,Haiti,Mexico,0,1,Gold Cup,Glendale,United States,TRUE,Mexico
3/7/2019,United States,Jamaica,3,1,Gold Cup,Nashville,United States,FALSE,United States
7/7/2019,United States,Mexico,0,1,Gold Cup,Chicago,United States,FALSE,Mexico
2/7/2021,Haiti,Saint Vincent and the Grenadines,6,1,Gold Cup qualification,Fort Lauderdale,United States,TRUE,Haiti
2/7/2021,Trinidad and Tobago,Montserrat,6,1,Gold Cup qualification,Fort Lauderdale,United States,TRUE,Trinidad and Tobago
2/7/2021,Bermuda,Barbados,8,1,Gold Cup qualification,Fort Lauderdale,United States,TRUE,Bermuda
3/7/2021,Guatemala,Guyana,4,0,Gold Cup qualification,Fort Lauderdale,United States,TRUE,Guatemala
3/7/2021,Cuba,French Guiana,0,3,Gold Cup qualification,Fort Lauderdale,United States,TRUE,French Guiana
3/7/2021,Guadeloupe,Bahamas,2,0,Gold Cup qualification,Fort Lauderdale,United States,TRUE,Guadeloupe
6/7/2021,Haiti,Bermuda,4,1,Gold Cup qualification,Fort Lauderdale,United States,TRUE,Haiti
6/7/2021,Guatemala,Guadeloupe,1,1,Gold Cup qualification,Fort Lauderdale,United States,TRUE,DRAW
6/7/2021,Trinidad and Tobago,French Guiana,1,1,Gold Cup qualification,Fort Lauderdale,United States,TRUE,DRAW
10/7/2021,Mexico,Trinidad and Tobago,0,0,Gold Cup,Arlington,United States,TRUE,DRAW
11/7/2021,El Salvador,Guatemala,2,0,Gold Cup,Frisco,United States,TRUE,El Salvador
11/7/2021,Canada,Martinique,4,1,Gold Cup,Kansas City,United States,TRUE,Canada
11/7/2021,United States,Haiti,1,0,Gold Cup,Kansas City,United States,FALSE,United States
12/7/2021,Jamaica,Suriname,2,0,Gold Cup,Orlando,United States,TRUE,Jamaica
